1331465.86662175,-4634544.10596476,4154687.06112609
1331455.68430908,-4634543.4098324,4154691.10080402
1331445.74466761,-4634542.64396029,4154695.14047903
1331436.26953958,-4634541.97095658,4154698.92767171
1331426.95619378,-4634541.25145525,4154702.71486182
1331417.66287607,-4634540.60162687,4154706.41788968
1331408.16774477,-4634539.8588633,4154710.28923436
1331389.03574718,-4634538.48943829,4154717.94775617
1331379.19706191,-4634537.76986076,4154721.90325235
1331366.9341535,-4634536.84131328,4154726.86865848
1331355.84292561,-4634536.02882393,4154731.3291043
1331345.66069059,-4634535.33241639,4154735.36875027
1331333.66049566,-4634534.40375445,4154740.24998527
1331321.7420036,-4634533.14980355,4154745.46785245
1331318.81162934,-4634533.31256633,4154746.22528438
1331309.59926937,-4634532.63925522,4154749.92828345
1331297.53823776,-4634531.80341777,4154754.72534677
1331286.44706368,-4634530.9907391,4154759.18577039
1331274.91141869,-4634530.15481409,4154763.81450812
1331249.53687479,-4634528.39000697,4154773.91355897
1331237.011395,-4634527.46107522,4154778.96307756
1331225.39490197,-4634526.6482443,4154783.59179893
1331213.49571601,-4634525.76568938,4154788.3888334
1331201.51565229,-4634524.90633346,4154793.18586376
1331188.84845845,-4634524.09341776,4154798.15120664
1331180.12069683,-4634523.58243251,4154801.5175383
1331170.84755702,-4634523.00173769,4154805.13634256
1331161.57442296,-4634522.42102187,4154808.75514449
1331152.30129465,-4634521.84028505,4154812.37394408
1331142.03831447,-4634521.16660188,4154816.41353155
1331129.99744024,-4634520.39996609,4154821.12637992
1331121.45150631,-4634519.91208813,4154824.40853983
1331113.93628363,-4634519.35449739,4154827.43822419
1331105.53211578,-4634518.75042393,4154830.80453823
1331097.22885861,-4634518.19279883,4154834.08669246
1331088.92560613,-4634517.63515684,4154837.36884477
1331080.52145282,-4634517.03103177,4154840.73515283
1331069.45046324,-4634516.28746001,4154845.11135029
1331057.38963046,-4634515.45091216,4154849.90833202
1331049.24817571,-4634514.84672669,4154853.19047505
1331034.52052477,-4634513.87066696,4154858.99733878
1331023.97492969,-4634513.12698293,4154863.20520727
1331013.16666264,-4634512.38326465,4154867.49722988
1331005.85330574,-4634511.91841046,4154870.35857645
1330991.28747326,-4634510.89573381,4154876.16542236
1330978.68133028,-4634509.98923746,4154881.21484869
1330969.93367465,-4634509.408105,4154884.66528739
1330959.73169284,-4634508.64103451,4154888.78897963
1330949.36794353,-4634507.92039727,4154892.91266883
1330935.87289812,-4634506.96726546,4154898.2987073
1330928.27688516,-4634506.43256098,4154901.32835166
1330916.0143629,-4634505.50265368,4154906.29359859
1330904.13544842,-4634504.68889409,4154911.00637126
1330891.97385005,-4634503.80538539,4154915.88745306
1330882.94355322,-4634503.15435173,4154919.50618336
1330873.73147187,-4634502.48005416,4154923.20906777
1330864.43850915,-4634501.82896368,4154926.91194972
1330850.57996355,-4634500.82906049,4154932.46626806
1330843.47941469,-4634503.84888261,4154931.37223609
1330823.42002034,-4634501.98884913,4154939.87201726
1330808.57912788,-4634498.17753201,4154948.87672184
1330799.12443212,-4634497.57274676,4154952.57958681
1330789.38705158,-4634496.89821762,4154956.4507612
1330779.28609983,-4634496.17716893,4154960.49024467
1330769.91231007,-4634495.54908955,4154964.19310195
1330759.73048472,-4634494.8512187,4154968.23257983
1330750.15490493,-4634494.13014352,4154972.1037434
1330740.80114789,-4634493.57169869,4154975.72243735
1330731.40736888,-4634492.87382931,4154979.50944014
1330721.77093463,-4634492.24561463,4154983.29644037
1330711.67003005,-4634491.52439827,4154987.33590446
1330700.4984195,-4634490.73334851,4154991.79614267
1330689.85466767,-4634489.03622315,4154997.09793063
1330682.92255917,-4634489.59309673,4154998.69688157
1330667.20545327,-4634488.52267317,4155004.92437035
1330651.56925136,-4634487.42896481,4155011.15185219
1330636.39753981,-4634486.42818439,4155017.12686204
1330616.57944235,-4634485.10151728,4155024.95327375
1330597.18581893,-4634483.72834051,4155032.69551971
1330582.82219495,-4634482.79716335,4155038.33388775
1330567.99411418,-4634481.77293968,4155044.22471396
1330552.19624499,-4634480.72529583,4155050.45215207
1331075.3217596,-4635077.31782595,4154217.34452808
1331066.93691697,-4635076.78375501,4154220.62704207
1331055.84498483,-4635075.97097027,4154225.08789133
1331041.01516534,-4635074.94915656,4154230.97957359
1331034.57018031,-4635074.46144356,4154233.58874518
1331023.41738797,-4635073.74148997,4154237.96541737
1331012.32548938,-4635072.92858661,4154242.42625282
1331000.26368236,-4635072.0924311,4154247.22375112
1330987.31286633,-4635071.20978484,4154252.35791142
1330978.09994112,-4635070.53615701,4154256.06123724
1330966.9271803,-4635069.74635986,4154260.52205826
1330955.83532535,-4635068.93330249,4154264.98287573
1330945.65250663,-4635068.23636866,4154269.0228583
1330934.56066812,-4635067.42325328,4154273.483669
1330922.49892585,-4635066.58686752,4154278.28114069
1330912.05342829,-4635065.88984694,4154282.40527973
1330904.98218934,-4635065.35546046,4154285.26692544
1330900.69891363,-4635065.07663581,4154286.95024576
1330890.77883542,-4635064.37956906,4154290.90604653
1330878.71712951,-4635063.54305373,4154295.70350329
1330867.11994978,-4635062.79943368,4154300.24845853
1330858.29072021,-4635062.24169364,4154303.69925542
1330848.83518626,-4635061.63745687,4154307.40254727
1330835.90451461,-4635060.82402036,4154312.45248675
1330822.69114359,-4635059.94084312,4154317.67075277
1330815.74086473,-4635059.52245607,4154320.36404945
1330805.4772465,-4635058.84839954,4154324.40399205
1330799.41598355,-4635058.47647925,4154326.76062388
